gene_name	transcript_id	strand	nreads	ntranscripts	nFSM	nISM	nNIC	nNNC	nFSMreads	nISMreads	nNICreads	nNNCreads
ABCC9	ENST00000261200.9	-	159	40	11	25	0	4	55	92	0	12
ABCD1	ENST00000218104.6	+	84	19	8	10	0	1	43	39	0	2
ABCD2	ENST00000308666.4	-	433	72	31	32	0	9	302	104	0	27
ABCD3	ENST00000370214.9	+	4756	222	14	73	25	110	176	2079	379	2122
ABCD4	ENST00000356924.9	-	4772	330	22	63	129	115	1245	1715	1090	720
ABCE1	ENST00000296577.9	+	8659	321	26	148	29	118	3317	2882	157	2303
ABCF1	ENST00000326195.13	+	800	72	6	53	4	9	299	457	14	30
ABCF2	ENST00000287844.7	-	7640	180	6	62	18	94	3457	2521	155	1507
ABCF3	ENST00000429586.7	+	10166	300	24	53	37	186	4356	2364	441	3005
ABCG1	ENST00000398449.8	+	359	48	9	31	4	4	116	213	14	16
ABCG2	ENST00000237612.8	-	2371	177	14	83	23	57	948	730	276	417
ABCG4	ENST00000619701.5	+	425	46	7	25	4	10	110	226	18	71
ABCG5	ENST00000405322.8	-	34	9	0	1	1	7	0	9	2	23
ABCG8	ENST00000272286.4	+	13	4	0	4	0	0	0	13	0	0
ABHD1	ENST00000316470.9	+	78	13	2	2	7	2	4	5	57	12
ABHD10	ENST00000273359.8	+	10768	131	25	36	4	66	9355	538	20	855
ABHD11	ENST00000222800.8	-	1744	84	15	15	31	23	1303	134	232	75
ABHD12	ENST00000339157.10	-	4445	244	0	23	4	216	0	956	12	3475
ABHD12B	ENST00000337334.7	+	364	48	5	11	9	23	60	79	113	112
ABHD13	ENST00000375898.4	+	2878	42	22	0	0	20	2793	0	0	85
ABHD14A	ENST00000273596.8	+	11671	131	14	27	25	65	8109	1534	1332	696
ABHD14B	ENST00000361143.10	-	1052	27	8	5	1	13	947	55	2	48
ABHD15	ENST00000307201.5	-	61	9	9	0	0	0	61	0	0	0
ABHD16A	ENST00000395952.8	-	1173	58	4	18	10	26	744	238	51	140
ABHD17A	ENST00000292577.12	-	4686	82	3	17	9	53	2153	2208	115	210
ABHD17B	ENST00000333421.7	-	2504	69	16	22	4	27	1575	725	18	186
ABHD17C	ENST00000258884.5	+	636	18	11	5	0	2	339	293	0	4
ABHD18	ENST00000645843.2	+	441	84	2	20	13	49	34	98	49	260
ABHD2	ENST00000352732.10	+	868	72	10	33	5	23	416	342	17	89
ABHD3	ENST00000289119.7	-	2899	92	11	25	21	35	1835	443	454	167
ABHD4	ENST00000428304.7	+	2488	43	6	23	2	12	1910	371	75	132
ABHD5	ENST00000644371.2	+	1640	78	26	35	8	9	1353	191	65	31
ABHD6	ENST00000478253.6	+	4317	132	23	26	19	64	2906	635	138	638
ABHD8	ENST00000247706.4	-	2842	28	1	6	3	18	1642	1134	20	46
ABI1	ENST00000376140.4	-	9386	508	76	159	84	189	5079	1591	1672	1044
ABI2	ENST00000261018.12	+	3309	296	24	78	31	163	520	498	245	2046
ABI3	ENST00000225941.6	+	134	18	8	7	2	1	104	20	8	2
ABI3BP	ENST00000471714.6	-	99	17	0	14	0	3	0	61	0	38
ABITRAM	ENST00000322940.11	+	5444	128	15	20	24	69	3691	307	962	484
ABL1	ENST00000318560.6	+	281	53	8	38	0	7	40	210	0	31
ABL2	ENST00000502732.6	-	22	8	1	5	0	1	4	13	0	2
ABLIM1	ENST00000533213.7	-	305	68	0	23	2	43	0	116	12	177
ABLIM2	ENST00000447017.7	-	2342	245	7	6	110	122	77	17	1163	1085
ABLIM3	ENST00000309868.12	+	1981	169	6	11	8	144	44	59	63	1815
ABR	ENST00000302538.10	-	1679	113	16	34	12	51	420	1035	63	161
ABRA	ENST00000311955.4	-	32	2	2	0	0	0	32	0	0	0
ABRACL	ENST00000367660.4	+	22707	92	8	5	1	78	20978	348	12	1369
ABRAXAS1	ENST00000321945.12	-	1292	105	15	20	24	45	464	237	217	372
ABRAXAS2	ENST00000298492.6	+	3552	106	9	35	14	48	1623	1536	170	223
ABT1	ENST00000274849.3	+	7739	52	10	11	7	24	7291	178	162	108
ABTB1	ENST00000232744.13	+	9154	296	15	49	73	159	5110	1047	944	2053
ABTB2	ENST00000435224.3	-	324	30	6	23	0	1	101	213	0	10
ACAA1	ENST00000333167.13	-	6282	184	10	31	55	88	2924	1767	1010	581
ACAA2	ENST00000285093.15	-	14555	232	24	26	6	176	4901	2936	57	6661
ACACA	ENST00000616317.5	-	1284	108	3	57	6	42	68	946	68	202
ACACB	ENST00000338432.12	+	228	46	5	38	0	3	40	181	0	7
ACAD10	ENST00000313698.9	+	770	118	15	54	33	16	198	332	191	49
ACAD11	ENST00000264990.11	-	1335	110	10	52	16	32	304	673	50	308
ACAD8	ENST00000281182.9	+	6782	226	10	83	61	71	3842	911	1583	444
ACAD9	ENST00000308982.12	+	5427	168	19	54	23	72	3768	1006	163	490
ACADL	ENST00000233710.4	-	270	36	8	13	4	11	176	43	14	37
ACADM	ENST00000370841.9	+	18651	367	51	123	70	123	3857	3441	940	10413
ACADS	ENST00000242592.9	+	1161	47	2	22	14	9	794	241	97	29
ACADSB	ENST00000358776.7	+	1192	69	13	35	4	17	570	516	18	88
ACADVL	ENST00000356839.10	+	12912	486	22	38	205	221	4134	2837	2095	3846
ACAN	ENST00000560601.4	+	17	5	2	3	0	0	9	8	0	0
ACAP1	ENST00000158762.8	+	834	27	11	6	1	9	330	234	2	268
ACAP2	ENST00000326793.11	-	4303	188	12	75	30	70	55	1681	244	2321
ACAP3	ENST00000354700.10	-	672	50	6	28	1	15	28	574	2	68
ACAT1	ENST00000265838.9	+	24844	404	42	58	16	288	16841	3446	275	4282
ACAT2	ENST00000367048.5	+	44303	340	27	102	25	186	32440	5726	1002	5135
ACBD3	ENST00000366812.6	-	2325	55	4	38	1	12	139	2017	2	167
ACBD4	ENST00000321854.13	+	969	116	7	17	50	42	104	222	483	160
ACBD5	ENST00000396271.8	-	4583	266	39	110	66	51	1540	1322	1154	567
ACBD6	ENST00000367595.4	-	8687	179	7	37	32	103	6212	1456	266	753
ACBD7	ENST00000356189.6	-	2336	199	12	11	0	176	670	150	0	1516
ACCS	ENST00000263776.9	+	132	33	5	18	8	2	26	69	22	15
ACD	ENST00000620761.6	-	7113	276	14	34	126	102	3590	1217	1574	732
ACE	ENST00000290866.10	+	134	38	3	34	0	1	9	117	0	8
ACE2	ENST00000252519.8	-	2	1	0	1	0	0	0	2	0	0
ACER2	ENST00000340967.3	+	11	3	2	1	0	0	9	2	0	0
ACER3	ENST00000532485.6	+	554	62	16	5	3	38	343	70	14	127
ACHE	ENST00000241069.11	-	1654	38	6	4	11	17	832	471	216	135
ACIN1	ENST00000605057.6	-	5902	255	18	112	43	82	474	4718	272	438
ACKR1	ENST00000368122.4	+	623	31	24	0	0	7	606	0	0	17
ACKR2	ENST00000422265.6	+	93	16	0	0	4	12	0	0	39	54
ACKR3	ENST00000272928.4	+	1285	17	9	0	0	8	1241	0	0	44
ACKR4	ENST00000249887.3	+	2	1	1	0	0	0	2	0	0	0
ACLY	ENST00000352035.7	-	12950	409	6	147	27	229	4179	7235	93	1443
ACO1	ENST00000309951.8	+	2818	141	9	94	0	38	1445	1134	0	239
ACO2	ENST00000216254.9	+	44149	471	36	65	40	329	27024	11284	753	5086
ACOT1	ENST00000311148.9	+	818	25	15	4	0	6	725	54	0	39
ACOT11	ENST00000343744.7	+	245	38	8	20	4	6	129	66	12	38
ACOT12	ENST00000307624.8	-	6	2	0	1	1	0	0	4	2	0
ACOT13	ENST00000230048.5	+	7521	65	24	11	0	30	864	386	0	6271
ACOT2	ENST00000238651.10	+	4220	62	17	11	2	32	2289	1692	23	216
ACOT4	ENST00000326303.5	+	641	20	9	4	1	6	399	24	18	200
ACOT6	ENST00000645972.2	+	32	3	1	0	1	1	8	0	22	2
ACOT7	ENST00000361521.9	-	37805	223	7	26	9	181	30711	4995	131	1968
ACOT8	ENST00000217455.9	-	9576	130	23	29	33	45	7552	964	786	274
ACOT9	ENST00000379303.10	-	2625	156	17	18	16	105	1465	288	277	595
ACOX1	ENST00000293217.10	-	2110	181	22	43	10	106	752	393	42	923
ACOX2	ENST00000302819.10	-	389	38	3	9	2	24	23	41	5	320
ACOX3	ENST00000356406.10	-	1555	124	8	58	17	40	653	302	112	479
ACP1	ENST00000272065.10	+	62083	400	61	50	36	253	56050	2579	535	2919
ACP2	ENST00000672073.1	-	3740	89	15	16	11	47	209	700	153	2678
ACP3	ENST00000336375.10	+	3	1	0	0	0	1	0	0	0	3
ACP4	ENST00000270593.2	+	2	1	0	0	1	0	0	0	2	0
ACP5	ENST00000648477.1	-	22	3	2	0	0	1	18	0	0	4
ACP6	ENST00000583509.7	-	1088	91	15	20	39	17	508	128	387	65
ACP7	ENST00000331256.10	+	12	5	1	2	0	2	2	4	0	6
ACRBP	ENST00000229243.7	-	47	9	3	2	3	1	34	4	7	2
ACRV1	ENST00000533904.6	-	80	13	0	3	1	9	0	12	4	64
ACSBG1	ENST00000258873.9	-	5751	130	12	38	16	64	4006	1035	207	503
ACSF2	ENST00000300441.9	+	887	74	9	32	8	25	348	367	21	151
ACSF3	ENST00000614302.5	+	2251	103	5	38	20	40	1200	542	323	186
ACSL1	ENST00000281455.7	-	1685	75	9	27	8	31	678	653	188	166
ACSL3	ENST00000357430.8	+	9618	291	56	185	6	44	3859	5418	20	321
ACSL4	ENST00000672401.1	-	1603	132	40	69	4	19	854	650	10	89
ACSL5	ENST00000354655.9	+	255	42	2	28	2	10	40	98	4	113
ACSL6	ENST00000651883.2	-	2229	181	18	62	13	88	489	1206	81	453
ACSM3	ENST00000289416.10	+	3	1	0	0	0	1	0	0	0	3
ACSM5	ENST00000331849.8	+	259	17	9	2	1	5	225	9	5	20
ACSS1	ENST00000323482.9	-	1214	58	14	13	10	21	398	710	41	65
ACSS2	ENST00000360596.7	+	2182	143	12	29	16	86	139	503	61	1479
ACSS3	ENST00000548058.6	+	752	70	16	28	2	15	221	149	5	86
ACTA1	ENST00000366684.7	-	653	21	2	16	1	2	19	622	2	10
ACTA2	ENST00000224784.10	-	1298	21	2	9	2	8	936	320	8	34
ACTB	ENST00000646664.1	-	620191	1460	16	48	47	1349	504031	102298	755	13107
ACTBL2	ENST00000423391.3	-	7	1	1	0	0	0	7	0	0	0
ACTC1	ENST00000290378.6	-	258	28	6	15	2	5	88	142	6	22
ACTG1	ENST00000573283.7	-	557552	1715	35	81	84	1515	469192	73037	1903	13420
ACTG2	ENST00000345517.8	+	163	7	3	4	0	0	139	24	0	0
ACTL10	ENST00000677665.1	+	26	7	7	0	0	0	26	0	0	0
ACTL6A	ENST00000429709.7	+	13520	239	17	40	23	159	8997	1179	179	3165
ACTL6B	ENST00000160382.10	-	13032	306	5	41	56	204	7070	3193	876	1893
ACTN1	ENST00000394419.9	-	6968	276	57	127	35	57	3636	2672	273	387
ACTN2	ENST00000366578.6	+	6992	298	61	164	6	67	4248	2335	76	333
ACTN4	ENST00000252699.7	+	3346	177	18	111	5	43	1572	1555	18	201
ACTR10	ENST00000254286.9	+	37360	488	17	71	63	337	23922	3635	2022	7781
ACTR1A	ENST00000369905.9	-	46175	531	31	46	47	407	11071	4170	1645	29289
ACTR1B	ENST00000289228.7	-	34299	408	3	24	96	285	10066	18694	2345	3194
ACTR2	ENST00000260641.10	+	11121	280	10	92	8	170	4929	4707	32	1453
ACTR3	ENST00000263238.7	+	23306	433	21	109	20	283	15704	5155	142	2305
ACTR3B	ENST00000256001.13	+	8034	217	13	62	24	118	4040	2701	372	921
ACTR3C	ENST00000683684.1	-	347	27	4	12	3	8	208	58	26	55
ACTR5	ENST00000243903.6	+	1716	117	10	46	11	50	650	541	121	404
ACTR6	ENST00000188312.7	+	15864	238	17	49	41	131	11666	2414	493	1291
ACTR8	ENST00000335754.8	-	2984	175	28	64	31	52	1965	493	269	257
ACTRT3	ENST00000330368.3	-	157	16	16	0	0	0	157	0	0	0
ACVR1	ENST00000434821.7	-	1191	44	13	22	6	3	477	624	83	7
ACVR1B	ENST00000257963.9	+	751	78	2	18	5	53	146	265	28	312
ACVR1C	ENST00000243349.13	-	105	19	6	13	0	0	23	82	0	0
ACVR2A	ENST00000241416.12	+	1164	155	48	83	1	22	349	727	3	83
ACVR2B	ENST00000352511.5	+	2265	199	6	24	0	169	58	988	0	1219
ACVRL1	ENST00000388922.9	+	72	17	4	10	0	3	17	39	0	16
ACY1	ENST00000636358.2	+	1247	69	28	11	13	17	1006	85	57	99
ACY3	ENST00000255082.8	-	340	27	4	14	1	8	26	242	2	70
ACYP1	ENST00000238618.8	-	13085	90	22	8	7	53	565	486	599	11435
ACYP2	ENST00000394666.9	+	20481	308	6	19	20	263	68	877	816	18720
ADA	ENST00000372874.9	-	746	39	8	12	8	11	552	84	59	51
ADA2	ENST00000399837.8	-	1260	34	10	7	0	17	1042	121	0	97
ADAD2	ENST00000315906.10	+	66	14	1	5	5	3	3	23	27	13
ADAM10	ENST00000260408.8	-	3498	172	26	92	23	31	1674	1465	209	150
ADAM11	ENST00000200557.11	+	1197	185	3	87	34	61	73	738	177	209
ADAM12	ENST00000448723.2	-	9	2	0	2	0	0	0	9	0	0
ADAM15	ENST00000356955.7	+	1755	213	24	89	74	26	790	476	403	86
ADAM17	ENST00000310823.8	-	1413	134	20	44	14	56	741	395	75	202
ADAM19	ENST00000257527.9	-	50	15	1	9	0	5	10	28	0	12
ADAM21	ENST00000603540.2	+	74	5	2	0	0	3	50	0	0	24
ADAM22	ENST00000413139.2	+	119	36	4	26	1	5	20	85	2	12
ADAM23	ENST00000264377.8	+	1423	194	6	99	16	73	22	831	68	502
ADAM28	ENST00000265769.9	+	66	14	1	10	0	3	22	28	0	16
ADAM30	ENST00000369400.2	-	2	1	1	0	0	0	2	0	0	0
ADAM32	ENST00000379907.9	+	11	4	0	2	0	2	0	6	0	5
ADAM33	ENST00000356518.7	-	107	18	1	11	5	1	7	75	23	2
ADAM8	ENST00000445355.8	-	4	2	1	1	0	0	2	2	0	0
ADAM9	ENST00000487273.7	+	3419	181	9	28	4	140	176	335	15	2893
ADAMTS1	ENST00000284984.8	-	433	35	12	19	2	2	181	185	5	62
ADAMTS10	ENST00000597188.6	-	246	52	1	23	18	10	2	134	74	36
ADAMTS12	ENST00000504830.6	-	86	18	7	0	0	11	36	0	0	50
ADAMTS13	ENST00000355699.7	+	297	54	0	45	7	2	0	266	26	5
ADAMTS14	ENST00000373207.2	+	20	7	0	7	0	0	0	20	0	0
ADAMTS16	ENST00000274181.7	+	38	12	0	9	0	3	0	26	0	12
ADAMTS17	ENST00000268070.9	-	6	2	0	2	0	0	0	6	0	0
ADAMTS18	ENST00000282849.10	-	5	2	1	1	0	0	2	3	0	0
ADAMTS19	ENST00000274487.9	+	22	8	0	8	0	0	0	22	0	0
ADAMTS2	ENST00000251582.12	-	93	19	1	13	0	5	2	36	0	55
ADAMTS3	ENST00000286657.10	-	372	42	0	32	4	6	0	316	26	30
ADAMTS4	ENST00000367996.6	-	224	20	8	9	0	3	170	47	0	7
ADAMTS5	ENST00000284987.6	-	10	3	1	1	1	0	5	3	2	0
ADAMTS6	ENST00000381055.8	-	56	12	0	9	1	2	0	45	2	9
ADAMTS7	ENST00000388820.5	-	431	59	0	18	0	41	0	251	0	180
ADAMTS8	ENST00000257359.7	-	889	56	7	23	1	24	265	534	2	80
ADAMTS9	ENST00000498707.5	-	393	45	3	32	0	10	24	279	0	90
ADAMTSL1	ENST00000380548.9	+	53	15	5	9	0	1	12	26	0	15
ADAMTSL2	ENST00000651351.2	+	314	47	1	34	0	12	4	253	0	57
ADAMTSL3	ENST00000286744.10	+	60	16	0	13	1	2	0	48	3	9
ADAMTSL4	ENST00000271643.9	+	18	5	0	5	0	0	0	18	0	0
ADAMTSL5	ENST00000330475.9	-	5	2	0	1	1	0	0	2	3	0
ADAP1	ENST00000265846.10	-	1136	37	4	16	2	15	101	609	26	400
ADAP2	ENST00000330889.8	+	246	35	19	6	3	7	163	19	23	41
ADAR	ENST00000368474.9	-	2605	118	12	69	6	31	451	2001	34	119
ADARB1	ENST00000348831.9	+	227	62	0	10	0	52	0	36	0	191
ADARB2	ENST00000381312.6	-	519	58	22	6	12	18	278	23	137	81
ADAT1	ENST00000564657.2	-	430	51	15	19	8	9	247	74	79	30
ADAT2	ENST00000237283.9	-	634	65	16	21	1	27	417	66	2	149
ADAT3	ENST00000329478.4	+	49	5	1	0	0	4	32	0	0	17
ADCK1	ENST00000238561.10	+	1529	105	17	28	35	25	749	343	338	99
ADCK2	ENST00000072869.9	+	2174	93	22	18	22	30	1257	711	104	99
ADCK5	ENST00000308860.11	+	1374	122	2	21	22	77	577	228	110	459
ADCY1	ENST00000297323.12	+	350	53	9	32	1	11	69	234	2	45
ADCY10	ENST00000367851.9	-	2	1	0	1	0	0	0	2	0	0
ADCY2	ENST00000338316.9	+	4525	195	25	82	21	67	602	2887	362	674
ADCY3	ENST00000679454.1	-	1722	66	7	25	19	15	129	1246	74	273
ADCY4	ENST00000418030.7	-	110	21	5	12	0	4	45	55	0	10
ADCY5	ENST00000462833.6	-	1210	95	5	42	2	46	139	785	5	281
ADCY6	ENST00000357869.8	-	468	44	7	30	2	5	30	406	4	28
ADCY7	ENST00000673801.1	+	94	26	4	12	3	7	13	44	12	25
ADCY8	ENST00000286355.10	-	658	71	12	26	28	5	89	405	146	18
ADCY9	ENST00000294016.8	-	447	20	0	1	1	18	0	5	2	440
ADCYAP1	ENST00000450565.8	+	406	51	39	0	2	10	353	0	4	49
ADCYAP1R1	ENST00000304166.9	+	164	23	2	19	0	2	5	155	0	4
ADD1	ENST00000683351.1	+	9137	390	21	148	50	171	1485	3236	2085	2331
ADD2	ENST00000264436.9	-	4649	203	20	105	13	64	2500	1749	63	335
ADD3	ENST00000356080.9	+	5451	260	20	99	56	85	2216	1810	821	604
ADGB	ENST00000397944.8	+	4	2	0	1	0	1	0	2	0	2
ADGRA1	ENST00000392607.8	+	242	51	6	6	2	37	52	17	4	169
ADGRA2	ENST00000412232.3	+	11	5	0	0	0	5	0	0	0	11
ADGRA3	ENST00000334304.10	-	1037	68	9	44	1	14	196	723	2	116
ADGRB1	ENST00000517894.6	+	301	25	2	7	0	16	110	35	0	156
ADGRB2	ENST00000373658.8	-	6095	206	1	45	10	150	48	4206	740	1101
ADGRB3	ENST00000370598.6	+	8202	466	14	252	68	132	61	6882	519	740
ADGRD1	ENST00000261654.10	+	57	15	2	7	1	5	4	21	6	26
ADGRE1	ENST00000312053.9	+	3	1	0	1	0	0	0	3	0	0
ADGRE5	ENST00000242786.6	+	774	43	6	24	6	7	80	571	49	74
ADGRF3	ENST00000651242.2	-	139	12	1	4	1	5	4	13	4	116
ADGRF5	ENST00000283296.12	-	532	71	3	42	0	26	23	384	0	125
ADGRG1	ENST00000562631.7	+	23652	401	16	85	104	196	684	12424	3737	6807
ADGRG2	ENST00000379869.8	-	50	12	0	12	0	0	0	50	0	0
ADGRG3	ENST00000333493.9	+	5	1	0	1	0	0	0	5	0	0
ADGRG5	ENST00000349457.8	+	7	2	1	1	0	0	5	2	0	0
ADGRG6	ENST00000367609.8	+	58	22	2	19	0	1	7	48	0	3
ADGRL1	ENST00000361434.8	-	358	56	0	5	3	48	0	41	8	309
ADGRL2	ENST00000686636.1	+	2261	334	9	223	14	88	30	1699	61	471
ADGRL3	ENST00000683033.1	+	1460	225	1	188	4	32	2	1334	9	115
ADGRL4	ENST00000370742.4	-	752	46	7	29	3	7	586	142	6	18
ADGRV1	ENST00000405460.9	+	55511	806	28	360	105	313	14563	37725	940	2283
ADH1B	ENST00000305046.13	-	40	6	5	0	0	1	27	0	0	13
ADH4	ENST00000265512.12	-	5	2	0	0	1	1	0	0	2	3
ADH5	ENST00000296412.14	-	28584	235	20	71	23	121	19415	7437	361	1371
ADHFE1	ENST00000396623.8	+	2397	127	1	29	8	89	22	410	37	1928
ADI1	ENST00000327435.11	-	8561	110	41	21	7	41	7696	566	35	264
ADIPOR1	ENST00000340990.10	-	13257	112	8	12	24	68	9126	1187	1630	1314
ADIPOR2	ENST00000357103.5	+	508	49	1	25	10	13	52	152	263	41
ADIRF	ENST00000372013.8	+	6398	26	8	6	0	12	6101	74	0	223
ADK	ENST00000539909.6	+	9359	330	39	102	41	148	5387	974	319	2679
ADM	ENST00000278175.10	+	696	23	12	1	0	10	661	8	0	27
ADM5	ENST00000420022.4	+	369	14	11	0	0	3	363	0	0	6
ADNP	ENST00000621696.5	-	494	42	10	8	0	24	219	201	0	74
ADNP2	ENST00000262198.9	+	38	9	3	6	0	0	13	25	0	0
ADO	ENST00000373783.3	+	2695	117	117	0	0	0	2695	0	0	0
ADORA1	ENST00000337894.9	+	1505	55	15	18	0	22	611	756	0	138
ADORA2A	ENST00000337539.12	+	331	23	2	11	8	2	7	116	203	5
ADORA2B	ENST00000304222.3	+	788	17	10	0	0	7	753	0	0	35
ADORA3	ENST00000241356.5	-	369	8	7	0	0	1	358	0	0	11
ADPGK	ENST00000456471.3	-	2378	129	11	19	37	62	656	564	417	741
ADPRH	ENST00000357003.8	+	33	9	9	0	0	0	33	0	0	0
ADPRHL1	ENST00000612156.3	-	1020	35	7	11	2	15	786	143	9	82
ADPRM	ENST00000379774.5	+	2896	57	13	22	4	18	1824	895	76	101
ADPRS	ENST00000373178.5	+	5495	46	8	17	9	12	4504	584	313	94
ADRA1A	ENST00000380573.4	-	15	5	2	2	1	0	5	6	4	0
ADRA1B	ENST00000306675.5	+	8	3	0	0	0	3	0	0	0	8
ADRA1D	ENST00000379453.6	-	14	4	4	0	0	0	14	0	0	0
ADRA2A	ENST00000280155.4	+	4061	48	46	0	0	0	4057	0	0	0
ADRA2B	ENST00000620793.2	-	10	4	4	0	0	0	10	0	0	0
ADRB1	ENST00000369295.4	+	1994	42	42	0	0	0	1994	0	0	0
ADRB2	ENST00000305988.6	+	320	17	15	0	0	0	308	0	0	0
ADRM1	ENST00000253003.7	+	16823	221	7	41	41	132	12456	2997	369	1001
ADSL	ENST00000623063.3	+	7013	317	27	62	35	193	735	2853	324	3101
ADSS1	ENST00000330877.7	+	452	34	9	12	4	9	295	88	10	59
ADSS2	ENST00000366535.4	-	5484	160	10	65	12	73	3514	1523	45	402
ADTRP	ENST00000414691.8	-	482	45	4	5	16	20	28	43	302	109
AEBP1	ENST00000223357.8	+	665	52	6	38	1	7	64	549	3	49
AEBP2	ENST00000266508.14	+	329	72	29	32	2	9	176	128	4	21
AEN	ENST00000332810.4	+	463	37	6	13	2	16	272	117	10	64
AFAP1	ENST00000420658.6	-	408	68	16	37	0	15	106	177	0	125
AFAP1L1	ENST00000296721.9	+	95	21	6	13	1	1	56	34	2	3
AFAP1L2	ENST00000304129.9	-	2338	169	5	71	14	79	84	1344	115	795
AFDN	ENST00000683244.1	+	4531	507	106	251	49	101	1164	2006	288	1073
AFF1	ENST00000395146.9	+	330	24	4	11	1	8	260	41	2	27
AFF2	ENST00000370460.7	+	67	21	0	18	0	3	0	61	0	6
AFF3	ENST00000672756.2	-	722	130	25	85	9	11	131	503	45	43
AFF4	ENST00000265343.10	-	526	82	8	60	3	10	106	353	39	26
AFG1L	ENST00000368977.9	+	323	57	9	12	14	22	72	41	42	168
AFG3L2	ENST00000269143.8	-	4985	131	8	70	14	39	369	3972	110	534
AFMID	ENST00000409257.10	+	4806	115	13	12	44	46	1211	83	3192	320
AFP	ENST00000395792.7	+	38	8	1	4	0	3	15	12	0	11
AFTPH	ENST00000409933.6	+	2398	169	27	91	28	23	770	1103	290	235
AGA	ENST00000264595.7	-	2809	99	9	26	33	31	1570	195	565	479
AGAP1	ENST00000304032.13	+	3246	254	2	122	54	76	8	2037	542	659
